id,base_model_id,base_string,correlation_model_id,correlation_string,similarity,base_coord,correlation_coord,status
76871,7,"1710028800propertyfees10,000.00",8,"1711756800internetpmttonedbankcreditcard492213000924409810,000.00",0.688342,"[0.41576218605041504, -3.861258690562863e-08]","[-0.4157622456550598, -3.8612579800201274e-08]",MATCHED
76872,7,1710288000bps/station500.00,8,1711756800fnbapppaymentfrominv500.00,0.5031771,"[-0.5048587322235107, 3.074172738593006e-08]","[0.5048587322235107, 3.074172738593006e-08]",MATCHED
76873,7,1710374400je&casnetbalkos230.00,8,1712102400pospurchaseik*brew4u485442*846401apr230.00,0.52947724,"[0.4930467903614044, 5.543611436564788e-08]","[-0.4930466413497925, 5.543612502378892e-08]",MATCHED
76874,7,1710460800hennierent400.00,8,1712188800internetpmttoflickswitchsimdatazafsi3650400.00,0.71232593,"[0.38939717411994934, 1.6094259081000928e-07]","[-0.38939687609672546, 1.60942704496847e-07]",MATCHED
76875,7,1710720000declinedpurc6.00,8,17123616006.00,0.75136364,"[-0.3729887902736664, -7.12031251737244e-08]","[0.37298890948295593, -7.120308254116026e-08]",MATCHED
76876,7,"1710806400propertyfees2,000.00",8,"1712275200fnbapppaymentfrompropfees2,000.00",0.81407464,"[-0.30095845460891724, 3.447654606247852e-08]","[0.30095845460891724, 3.447654606247852e-08]",MATCHED
76877,7,"1710806400propertyfees2,000.00",8,"1712534400fnbapppaymentfrompropfees2,000.00",0.8205775,"[-0.2953575551509857, -1.0786719428779179e-07]","[0.29535776376724243, -1.0786714454980029e-07]",MATCHED
76878,7,1710806400annierent500.00,8,1712534400fuelpurchasetotalbryanstonc485442*846405apr500.00,0.6952932,"[0.37720629572868347, -4.321889690572789e-08]","[-0.37720635533332825, -4.321888980030053e-08]",MATCHED
76879,7,"1711065600propertyfees2,000.00",8,"1712275200fnbapppaymentfrompropfees2,000.00",0.8185522,"[-0.3042120635509491, -2.790038955424734e-08]","[0.3042120635509491, -2.790038600153366e-08]",MATCHED
76880,7,"1711065600propertyfees2,000.00",8,"1712534400fnbapppaymentfrompropfees2,000.00",0.8257077,"[-0.2976846396923065, -5.379973799790605e-08]","[0.2976844906806946, -5.379975931418812e-08]",MATCHED
76881,7,"1711065600propertyfees2,000.00",8,"1712620800fnbobpmtpropfees2,000.00",0.8728069,"[-0.26380857825279236, 3.678295712461477e-08]","[0.26380857825279236, 3.678295357190109e-08]",MATCHED
76882,7,1711065600shanrent200.00,8,1712534400magtapecreditcapitecshanelectricity200.00,0.6457758,"[0.40375053882598877, -5.697805249837984e-08]","[-0.4037504196166992, -5.6978059603807196e-08]",MATCHED
76883,7,1711152000engens/station600.00,8,1712361600fuelpurchasetotaleldoraignec485442*022504apr600.00,0.57249177,"[0.47677138447761536, -5.662251822968756e-08]","[-0.4767712652683258, -5.662253599325595e-08]",MATCHED
76884,7,1711152000totals/station92.00,8,1712361600pospurchasetotaleldoraignec485442*846404apr92.00,0.590824,"[-0.4558675289154053, 6.637567651068821e-08]","[0.4558676779270172, 6.637566229983349e-08]",MATCHED
76885,7,1711324800engens/station500.00,8,1712534400fuelpurchasetotalbryanstonc485442*846405apr500.00,0.5128951,"[0.49615707993507385, -6.427985965729022e-08]","[-0.4961572289466858, -6.427985255186286e-08]",MATCHED
76886,7,1711324800gerald500.00,8,1712534400fuelpurchasetotalbryanstonc485442*846405apr500.00,0.6444143,"[-0.4059312343597412, 4.4558245093639925e-08]","[0.4059312045574188, 4.4558248646353604e-08]",MATCHED
76887,7,1711756800jennywages400.00,8,1712793600fuelpurchaseshellhertfordjunc485442*846409apr400.00,0.6796293,"[-0.39648234844207764, 3.084592847812928e-08]","[0.3964824378490448, 3.084592137270192e-08]",MATCHED
76888,7,1711756800caseywages400.00,8,1712793600fuelpurchaseshellhertfordjunc485442*846409apr400.00,0.69468975,"[-0.3959903419017792, 7.678382729636724e-08]","[0.3959904909133911, 7.678377755837573e-08]",MATCHED
76889,7,"1711756800geraldwages2,500.00",8,"1712793600fnbapppaymentfrompropfees2,500.00",0.6821113,"[-0.40922847390174866, -3.073243703966e-08]","[0.40922850370407104, -3.073242993423264e-08]",MATCHED
76890,7,"1711756800vodacom-jakes1,400.00",8,"1712707200internetpmttobiz4alltesseract1,400.00",0.63349634,"[0.42896345257759094, 3.337917675594326e-08]","[-0.42896348237991333, 3.337917675594326e-08]",MATCHED
